pc,expr_R2,morans_raw,p_raw,morans_resid,p_resid
1,0.19028902053833008,0.42344594970227256,0.001,0.2597194686755123,0.001
2,0.34121274948120117,0.5524848680695389,0.001,0.4000574397792778,0.001
3,0.08777385950088501,0.1144051143900982,0.001,0.05117147585786183,0.027
4,0.12338137626647949,0.2314960938806476,0.001,0.13394906105360163,0.001
5,0.15729665756225586,0.1958899462277264,0.001,0.09199107182304421,0.001
6,0.08981263637542725,0.12368448569573763,0.001,0.05881952385070466,0.008
7,0.07364487648010254,0.18225170732717816,0.001,0.1447306643780919,0.001
8,0.16644179821014404,0.03460936909165564,0.472,0.030250325891794154,0.755
9,0.010398805141448975,0.08479681447604476,0.001,0.07591208204057522,0.001
10,0.06641370058059692,0.07137452355514014,0.001,0.05694550035353091,0.007
11,0.04245710372924805,0.08264045753395108,0.001,0.05434089787834891,0.018
12,0.02445882558822632,0.038921615756823735,0.262,0.03638995978893859,0.357
13,0.032184481620788574,0.0880289869705341,0.001,0.07816700026910704,0.001
14,0.052407264709472656,0.07096404013422727,0.003,0.04978062468117854,0.045
15,0.0263022780418396,0.030274426143117993,0.795,0.024952407384175024,0.812
16,0.05334579944610596,0.05883528243642402,0.005,0.04022067576015449,0.278
17,0.01986628770828247,0.0466269403368981,0.078,0.03675306809527703,0.399
18,0.010135054588317871,0.029044647819242066,0.903,0.02844546618976904,0.88
19,0.021871864795684814,0.026362826478267112,0.916,0.018878300792038005,0.447
20,0.013036549091339111,0.03427981004480873,0.527,0.033254114586373215,0.593
