subtype,k,silhouette,purity,purity_null,purity_p
Astrocyte,2,0.15703660249710083,0.7653410113370523,0.5984274719203638,0.001
Astrocyte,3,0.18051177263259888,0.7410473276947993,0.5485098198792638,0.001
Astrocyte,4,0.1691722720861435,0.6291164297282706,0.40709802838649334,0.001
Astrocyte,5,0.2153664082288742,0.6894007558034911,0.544917420569751,0.001
Astrocyte,6,0.17695920169353485,0.5573150980745006,0.3616126473783483,0.001
Astrocyte,7,0.15074144303798676,0.37817167536440527,0.24895671269614045,0.001
Astrocyte,8,0.2006375938653946,0.5179953212164837,0.3516988285748408,0.001
L2/3 IT,2,0.20840083062648773,0.6322647169103862,0.5253852582428697,0.001
L2/3 IT,3,0.14602136611938477,0.4721597300337458,0.36197862419975285,0.001
L2/3 IT,4,0.14829249680042267,0.48117032245969255,0.33893821877745767,0.001
L2/3 IT,5,0.14236615598201752,0.4049493813273341,0.28929003994620794,0.001
L2/3 IT,6,0.13447245955467224,0.35195209973753283,0.24562403376379754,0.001
L2/3 IT,7,0.13994662463665009,0.34085583052118484,0.22958302321819382,0.001
L2/3 IT,8,0.14552734792232513,0.34035198725159355,0.22711099269498217,0.001
L4 IT,2,0.2175779491662979,0.6931503050471437,0.6630350816706889,0.001
L4 IT,3,0.22921222448349,0.6763727121464226,0.6383828642841399,0.001
L4 IT,4,0.246919184923172,0.6551858014420411,0.5781810096285971,0.001
L4 IT,5,0.1576387584209442,0.5803660565723794,0.36869334670222076,0.001
L4 IT,6,0.15776586532592773,0.40471436494731006,0.29526181755799064,0.001
L4 IT,7,0.1558004915714264,0.39961175818080974,0.2891519639439773,0.001
L4 IT,8,0.21776095032691956,0.5126178591236827,0.3938282986258583,0.001
Oligodendrocyte,2,0.10450510680675507,0.7591235733408482,0.5820601494830042,0.001
Oligodendrocyte,3,0.1138831153512001,0.6751444272227702,0.4772812829738291,0.001
Oligodendrocyte,4,0.11627522110939026,0.5519233478934761,0.38289275607860923,0.001
Oligodendrocyte,5,0.10137525200843811,0.5560095815133155,0.3588244437194698,0.001
Oligodendrocyte,6,0.13166296482086182,0.5326194166549246,0.37423911159292306,0.001
Oligodendrocyte,7,0.14295470714569092,0.5178948851627448,0.3620086198640518,0.001
Oligodendrocyte,8,0.14693477749824524,0.45892630689023534,0.3219367035063808,0.001
