space,pc,var_explained,morans_I,E_perm,p_perm
GRN,1,0.00038715978735126555,0.2862659737761159,0.029857809453307585,0.001
GRN,2,0.008602011017501354,0.43046558074880603,0.03014947751665224,0.001
GRN,3,0.007784522138535976,0.5735127109647344,0.029793731965932744,0.001
GRN,4,0.006283209193497896,0.3765432374042084,0.029839249517514054,0.001
GRN,5,0.005620000883936882,0.18998808804641917,0.029413159804547586,0.001
GRN,6,0.004586378578096628,0.07475782927164333,0.029326872505931426,0.002
GRN,7,0.0041565983556210995,0.12376401785696983,0.03053127901901301,0.001
GRN,8,0.0040262178517878056,0.02863445845059408,0.03120172671762788,0.882
GRN,9,0.003788475878536701,0.09165881969683519,0.029386092414875314,0.001
GRN,10,0.0036603007465600967,0.07330808862558345,0.030172254040639297,0.002
GRN,11,0.003336900845170021,0.0808179516090122,0.03014536851667464,0.001
GRN,12,0.0032831374555826187,0.11421126730993526,0.028899863514671442,0.001
GRN,13,0.0030951364897191525,0.1000277830519599,0.029697801740457164,0.001
GRN,14,0.003005189821124077,0.018089138766829677,0.02993783159383932,0.365
GRN,15,0.0028992793522775173,0.0767293249577688,0.030561276482724924,0.001
GRN,16,0.0028184878174215555,0.13484487830891262,0.02947648153051323,0.001
GRN,17,0.0027439917903393507,0.05287168541047775,0.02933169309769801,0.066
GRN,18,0.0026379746850579977,0.08974934530513723,0.02974050464647659,0.001
GRN,19,0.0025596681516617537,0.06953040378202639,0.02950872732688788,0.005
GRN,20,0.0024516729172319174,0.1164538305736757,0.029971456086611555,0.001
expression,1,0.46429696679115295,0.25092601331542086,0.029606035256451897,0.001
expression,2,0.2620300054550171,0.40464963904828166,0.030124457801057828,0.001
expression,3,0.048651907593011856,0.13644126480626131,0.029282517356485918,0.001
expression,4,0.027374112978577614,0.17229016376286097,0.030985959060598443,0.001
expression,5,0.02305179089307785,0.27687454370573644,0.0300682535814978,0.001
expression,6,0.01527106761932373,0.0975013936116655,0.029534042927884082,0.001
expression,7,0.013314441777765751,0.09044015896559757,0.03038879521942734,0.002
expression,8,0.011767707765102386,0.16763816848604268,0.030426634748636387,0.001
expression,9,0.008119682781398296,0.052773456459032926,0.029137565490962095,0.091
expression,10,0.008045432157814503,0.07307197142328627,0.029912025205642487,0.002
expression,11,0.006614946760237217,0.14399312730662595,0.03023365040943985,0.001
expression,12,0.005664076656103134,0.11249725929702087,0.0303097447147368,0.001
expression,13,0.00528781907632947,0.0528145320128319,0.02912538566642241,0.058
expression,14,0.004625361412763596,0.06947972446743526,0.029286556947157046,0.002
expression,15,0.004218699410557747,0.06731631884624804,0.02950642685684414,0.003
expression,16,0.004094396717846394,0.11938141000950919,0.029695431961668586,0.001
expression,17,0.004006142728030682,0.11835015129468367,0.03001100406286529,0.001
expression,18,0.0035149790346622467,0.03372958583309775,0.02995853375077619,0.739
expression,19,0.0033972240053117275,0.13448635771948925,0.03006894789033742,0.001
expression,20,0.0030707151163369417,0.06380037718144042,0.029546822422933407,0.016
