subtype,n_pcs,morans_meanI,morans_maxI,morans_sig,cluster_k,purity,purity_null,purity_p
Astrocyte,10,0.22481232794173045,0.5734328057207451,9,6,0.56361346050027,0.38415057130191194,0.001
Astrocyte,20,0.15511122069588226,0.5735127109647344,17,5,0.6894007558034911,0.530580787733928,0.001
Astrocyte,50,0.0928154619398185,0.5735107484756773,30,7,0.47273708835702716,0.28740230242839565,0.001
L2/3 IT,10,0.2672247854678939,0.5827727708696171,10,2,0.6327802774653168,0.5062907512874705,0.001
L2/3 IT,20,0.17607555273888068,0.5812410586947618,20,2,0.6324521934758155,0.5059392561853192,0.001
L2/3 IT,50,0.10382886794723867,0.581130820621327,42,2,0.6333309898762655,0.5061196366970645,0.001
L4 IT,10,0.26239130205981887,0.6327326081457258,10,4,0.6580421519689407,0.5697007878649587,0.001
L4 IT,20,0.1597795712240762,0.6330502719671179,20,4,0.6551858014420411,0.5668349436513608,0.001
L4 IT,50,0.08712617232381616,0.6331126923724464,29,4,0.6555463117027177,0.56434829171934,0.001
Oligodendrocyte,10,0.19965011820754935,0.5525254054607182,9,8,0.4230660842609553,0.26886510294992755,0.001
Oligodendrocyte,20,0.1260208953035167,0.5524848680695389,13,8,0.45892630689023534,0.3029255830439429,0.001
Oligodendrocyte,50,0.07130625207422028,0.5524876835473577,15,8,0.45857404537128366,0.3041325106986655,0.001
