dist_center,wjac_mean_dissim,wjac_sem,n_pairs
220.7570734897831,0.8608894577146539,0.00013091917376961533,10039
555.6198383499657,0.8609293751582642,0.00013115681765978193,10037
761.3953737784288,0.861182285196054,0.0001329389285291024,10037
942.1930898808723,0.8614551853960185,0.00012323143839510056,10036
1114.0485319825088,0.8609622409946592,0.00013224229157387623,10041
1279.3882409496687,0.8609862917091742,0.0001332973080652307,10040
1445.2938841173213,0.8613376600859945,0.00013056398285460593,10035
1613.5830567566472,0.8611099172215481,0.00013511917181440662,10041
1787.0694465482595,0.8611788021635698,0.00013247634448170035,10037
1969.6681650618218,0.8608940417565415,0.00013023316535712548,10039
2155.7379637636145,0.8609550722698159,0.00012610235574415812,10039
2350.30875479364,0.8611372705533787,0.00013376308692312713,10039
2567.4296064650625,0.8607380370867137,0.0001309298876872507,10037
2808.9482876888715,0.8609162200398507,0.0001281661915510149,10039
3074.783110971322,0.8610334135450959,0.00012990933759889452,10038
3379.4268255094294,0.8604920709316035,0.00013724465161979167,10038
3742.051276601319,0.8607705417103544,0.00013738741229570524,10039
4203.266619383719,0.8604241226421857,0.00014403813453371222,10037
4905.9236393451865,0.8604283067961354,0.00015286086556346237,10039
8024.568983226236,0.8592440674735988,0.00016920490287806713,10034
