subtype,pc,pooled_I,donor_r,donor_p,sec_r,sec_perm_p,n_sections,n_donors,sec_fdr_q
Astrocyte,3,0.5735127109647344,0.48571428571428577,0.3287230320699709,0.35168747273481193,0.0496,14,6,0.124
Astrocyte,2,0.430465580748806,-0.08571428571428573,0.8717434402332361,-0.1456030938074062,0.7962,14,6,0.8278000000000001
Astrocyte,4,0.3765432374042084,0.2,0.704,-0.12320261783703601,0.8278,14,6,0.8278000000000001
Astrocyte,1,0.2862659737761159,0.7714285714285715,0.07239650145772594,0.35392752033184893,0.0343,14,6,0.124
Astrocyte,5,0.1899880880464191,-0.4285714285714286,0.3965014577259474,-0.5779322800355507,0.2401,14,6,0.4001666666666667
L2/3 IT,4,0.5812410586947618,0.26666666666666666,0.4879222748387009,0.18030842043849435,0.5635,25,9,0.704375
L2/3 IT,2,0.3076685908621401,0.5166666666666667,0.1543901209862251,0.2594114694050596,0.3946,25,9,0.6576666666666667
L2/3 IT,6,0.3033081705353884,-0.09999999999999999,0.797971695234851,0.0317963236042076,0.8946,25,9,0.8946
L2/3 IT,3,0.2682794842414762,0.5666666666666667,0.11163298761149111,0.3400655585474398,0.3045,25,9,0.6576666666666667
L2/3 IT,7,0.2608200154751021,0.5499999999999999,0.12497678418833198,0.3563514803934974,0.1964,25,9,0.6576666666666667
L4 IT,4,0.6330502719671179,0.4761904761904762,0.23293553465009798,0.11873846969429343,0.5148,23,8,0.7961
L4 IT,5,0.5556341787767243,-0.4523809523809524,0.260404767436885,-0.08281758810610382,0.6987,23,8,0.7961
L4 IT,1,0.373535943870407,0.14285714285714288,0.735764859879812,0.09778462210118281,0.6964,23,8,0.7961
L4 IT,7,0.2168002933201607,0.11904761904761905,0.7788857260523797,0.07283956544271782,0.7961,23,8,0.7961
L4 IT,8,0.2049609764628416,0.7142857142857144,0.04652823228416724,0.26890771077825276,0.1643,23,8,0.7961
Oligodendrocyte,2,0.5524848680695389,-0.5428571428571429,0.26570262390670557,-0.22693438494561297,0.3796,13,5,0.4745
Oligodendrocyte,1,0.4234459497022725,-0.942857142857143,0.004804664723032055,-0.3277941115881076,0.0675,13,5,0.3375
Oligodendrocyte,4,0.2314960938806476,-0.48571428571428577,0.3287230320699709,-0.2605542938264445,0.1782,13,5,0.4455
Oligodendrocyte,5,0.1958899462277264,0.028571428571428574,0.9571545189504373,0.07284313590846835,0.8691,13,5,0.8690999999999999
Oligodendrocyte,7,0.1822517073271781,-0.14285714285714288,0.7871720116618075,-0.19611613513818402,0.2928,13,5,0.4745
