metric,subtype,severity,spearman_r,p,N,fdr_q
wI_mean,Astrocyte,CPS,0.3142857142857143,0.5440932944606414,6,0.5440932944606414
wI_mean,L2/3 IT,CPS,0.6666666666666667,0.04986723056888511,9,0.13564404993901946
wI_mean,L4 IT,CPS,0.6190476190476191,0.1017330374542646,8,0.13564404993901946
wI_mean,Oligodendrocyte,CPS,-0.7714285714285715,0.07239650145772594,6,0.13564404993901946
mean_topI5,Astrocyte,CPS,0.2,0.704,6,0.704
mean_topI5,L2/3 IT,CPS,0.5666666666666667,0.11163298761149111,9,0.22326597522298222
mean_topI5,L4 IT,CPS,0.3333333333333334,0.4197530864197531,8,0.5596707818930041
mean_topI5,Oligodendrocyte,CPS,-0.7142857142857143,0.1107871720116617,6,0.22326597522298222
mean_topI10,Astrocyte,CPS,0.48571428571428577,0.3287230320699709,6,0.3287230320699709
mean_topI10,L2/3 IT,CPS,0.6333333333333333,0.06708578689234565,9,0.13564404993901946
mean_topI10,L4 IT,CPS,0.6190476190476191,0.1017330374542646,8,0.13564404993901946
mean_topI10,Oligodendrocyte,CPS,-0.7714285714285715,0.07239650145772594,6,0.13564404993901946
mean_sigpcs,Astrocyte,CPS,0.48571428571428577,0.3287230320699709,6,0.3287230320699709
mean_sigpcs,L2/3 IT,CPS,0.6666666666666667,0.04986723056888511,9,0.19946892227554044
mean_sigpcs,L4 IT,CPS,0.5476190476190477,0.1600256425388966,8,0.2773333333333331
mean_sigpcs,Oligodendrocyte,CPS,-0.6,0.20799999999999982,6,0.2773333333333331
vw_mean,Astrocyte,CPS,0.48571428571428577,0.3287230320699709,6,0.4382973760932945
vw_mean,L2/3 IT,CPS,0.5666666666666667,0.11163298761149111,9,0.3200512850777932
vw_mean,L4 IT,CPS,0.5476190476190477,0.1600256425388966,8,0.3200512850777932
vw_mean,Oligodendrocyte,CPS,-0.3714285714285715,0.46847813411078715,6,0.46847813411078715
mean_top3,Astrocyte,CPS,0.4285714285714286,0.3965014577259474,6,0.4927262450169573
mean_top3,L2/3 IT,CPS,0.48333333333333334,0.18746985521554207,9,0.37493971043108415
mean_top3,L4 IT,CPS,0.28571428571428575,0.4927262450169573,8,0.4927262450169573
mean_top3,Oligodendrocyte,CPS,-1.0,0.0,6,0.0
mean_top5,Astrocyte,CPS,0.2,0.704,6,0.704
mean_top5,L2/3 IT,CPS,0.5333333333333333,0.13922686754397814,9,0.2784537350879563
mean_top5,L4 IT,CPS,0.3333333333333334,0.4197530864197531,8,0.5596707818930041
mean_top5,Oligodendrocyte,CPS,-0.7714285714285715,0.07239650145772594,6,0.2784537350879563
mean_top10,Astrocyte,CPS,0.2,0.704,6,0.704
mean_top10,L2/3 IT,CPS,0.6666666666666667,0.04986723056888511,9,0.19946892227554044
mean_top10,L4 IT,CPS,0.6190476190476191,0.1017330374542646,8,0.2034660749085292
mean_top10,Oligodendrocyte,CPS,-0.3714285714285715,0.46847813411078715,6,0.6246375121477162
median_I,Astrocyte,CPS,0.7142857142857143,0.1107871720116617,6,0.18527994288094227
median_I,L2/3 IT,CPS,0.7999999999999999,0.00962792472537983,9,0.03851169890151932
median_I,L4 IT,CPS,0.5714285714285715,0.1389599571607067,8,0.18527994288094227
median_I,Oligodendrocyte,CPS,-0.2571428571428572,0.6227871720116618,6,0.6227871720116618
mean_I,Astrocyte,CPS,0.48571428571428577,0.3287230320699709,6,0.4382973760932945
mean_I,L2/3 IT,CPS,0.6666666666666667,0.04986723056888511,9,0.19946892227554044
mean_I,L4 IT,CPS,0.5476190476190477,0.1600256425388966,8,0.3200512850777932
mean_I,Oligodendrocyte,CPS,-0.2,0.704,6,0.704
max_I,Astrocyte,CPS,0.14285714285714288,0.7871720116618075,6,0.7871720116618075
max_I,L2/3 IT,CPS,0.5166666666666667,0.1543901209862251,9,0.31234985422740474
max_I,L4 IT,CPS,0.14285714285714288,0.735764859879812,8,0.7871720116618075
max_I,Oligodendrocyte,CPS,-0.6571428571428573,0.15617492711370237,6,0.31234985422740474
