regulator,I_R,q_fdr,q_eqsec,n_active_c0,n_active_c1,mag_c0,mag_c1,mag_ratio,shape_cosine,rewiring_score,both_active
AC109492.1,0.0545323318455958,0.0013550135501355,0.0017667844522968,3647,1062,0.0039070815456672715,0.0013079054056692285,2.9872814392726026,0.7879600187534411,0.21203998124655887,True
AC106845.1,0.0947954185802177,0.0013550135501355,0.0017667844522968,4900,764,0.005771987443787144,0.0008200234667204175,7.038807632948221,0.8201644307978876,0.1798355692021124,True
GRAMD2B,0.0639112213565867,0.0013550135501355,0.0017667844522968,4553,1382,0.01126179375080296,0.0030192867535677615,3.7299516959644294,0.8362471791530066,0.16375282084699339,True
AC113137.1,0.0622609568987325,0.0013550135501355,0.0017667844522968,3914,1234,0.005133640671946126,0.001164622196047121,4.407988002428927,0.8651502897856148,0.1348497102143852,True
AC018742.1,0.0637528782160435,0.0013550135501355,0.0017667844522968,4132,1348,0.00582372041984329,0.0018375294324737175,3.1693208901878456,0.8695246101668617,0.13047538983313833,True
AC005909.2,0.0569826630081963,0.0013550135501355,0.0017667844522968,4234,1532,0.00711235415315711,0.002510409009680123,2.833145564288037,0.8738519452144234,0.12614805478557656,True
THEMIS,0.0633909895122684,0.0013550135501355,0.0017667844522968,4242,1576,0.005533251084844715,0.0016585293629767985,3.3362394450328954,0.8814283433526457,0.11857165664735425,True
MYBPC1,0.0624732066608976,0.0013550135501355,0.0017667844522968,5825,1662,0.01260233165182565,0.001794019438944854,7.0246349461035,0.8832113976530361,0.11678860234696387,True
RBM20,0.0569892065873843,0.0013550135501355,0.0017667844522968,5069,1758,0.00520905580683089,0.0014559633478104757,3.5777382796666526,0.8857770419027075,0.11422295809729255,True
AL450352.1,0.0615734751383943,0.0013550135501355,0.0017667844522968,4856,1216,0.008089722316173262,0.0018261282942482688,4.4299857448260145,0.8908458801166791,0.10915411988332091,True
FSHR,0.0573976365146108,0.0013550135501355,0.0017667844522968,5409,1793,0.011682123565454108,0.0036507021213141467,3.1999662459584397,0.9040527600914602,0.09594723990853982,True
FAM189A2,0.0697852729991965,0.0013550135501355,0.0017667844522968,5856,1670,0.009705217698910982,0.003321779665967386,2.9216921866980257,0.9055070382997639,0.09449296170023613,True
AL139379.1,0.0674742903217768,0.0013550135501355,0.0017667844522968,5024,868,0.009550162084539604,0.0017145137313644317,5.570186989035823,0.9062991300064877,0.09370086999351235,True
NOX4,0.0565255015639223,0.0013550135501355,0.0017667844522968,5385,2316,0.014069667876187117,0.004163972310288772,3.378905243448287,0.9092411237819009,0.09075887621809908,True
ADAM28,0.0733029279710982,0.0013550135501355,0.0017667844522968,6454,1289,0.010679466126184724,0.002183633418302971,4.890686335801581,0.911176712787141,0.08882328721285904,True
CHI3L1,0.063005792670104,0.0013550135501355,0.0017667844522968,5690,2185,0.00508685447622141,0.002311519018161014,2.2006543896263198,0.9158222690655266,0.08417773093447345,True
NPSR1-AS1,0.0597303307768348,0.0013550135501355,0.0017667844522968,6429,2370,0.011118949007979505,0.00386639198219154,2.875794553764125,0.9205106980378076,0.0794893019621924,True
MERTK,0.0605052918175334,0.0013550135501355,0.0017667844522968,7225,2346,0.02453366860389098,0.005220394668056764,4.699581192454898,0.9295516979398049,0.07044830206019514,True
AL445207.1,0.0693970964108355,0.0013550135501355,0.0017667844522968,7058,1384,0.02054964483184871,0.0033163273832277343,6.196506692789638,0.9346392145044602,0.06536078549553981,True
LINC02248,0.0590720265691208,0.0013550135501355,0.0017667844522968,3046,4331,0.0056117285434356375,0.01016934940496669,1.8121598941292703,0.9349272605424639,0.06507273945753611,True
